WardCode,Ward Name,AvPTAI2015,PTAL
E05000026,Abbey,25.44186,6a
E05000027,Alibon,7.797101,2
E05000028,Becontree,6.007634,2
E05000029,Chadwell Heath,3.675595,1b
E05000030,Eastbrook,3.600575,1b
E05000031,Eastbury,7.013423,2
E05000032,Gascoigne,9.333333,2
E05000033,Goresbrook,5.47541,2
E05000034,Heath,5.287879,2
E05000035,Longbridge,8.902439,2
E05000036,Mayesbrook,5.455026,2
E05000037,Parsloes,5.447154,2
E05000038,River,4.162921,1b
E05000039,Thames,2.528517,1b
E05000040,Valence,8.159091,2
E05000041,Village,4.551402,1b
E05000042,Whalebone,6.454545,2
E05000043,Brunswick Park,5.77709,2
E05000044,Burnt Oak,11.270531,3
E05000045,Childs Hill,14.141479,3
E05000046,Colindale,6.137405,2
E05000047,Coppetts,6.505535,2
E05000048,East Barnet,5.122995,2
E05000049,East Finchley,4.7251,1b
E05000050,Edgware,4.77957,1b
E05000051,Finchley Church End,6.937729,2
E05000052,Garden Suburb,5.289641,2
E05000053,Golders Green,9.510067,2
E05000054,Hale,3.332103,1b
E05000055,Hendon,5.926316,2
E05000056,High Barnet,2.548854,1b
E05000057,Mill Hill,3.086957,1b
E05000058,Oakleigh,7.720721,2
E05000059,Totteridge,3.235429,1b
E05000060,Underhill,4.12,1b
E05000061,West Finchley,11.061905,3
E05000062,West Hendon,9.833828,2
E05000063,Woodhouse,6.313208,2
E05000064,Barnehurst,6.872414,2
E05000065,Belvedere,4.312303,1b
E05000066,Blackfen and Lamorbey,3.439759,1b
E05000067,Blendon and Penhill,3.401914,1b
E05000068,Brampton,6.929293,2
E05000069,Christchurch,9.478599,2
E05000070,Colyers,4.59375,1b
E05000071,Crayford,3.471033,1b
E05000072,Cray Meadows,2.0625,1a
E05000073,Danson Park,5.833333,2
E05000074,East Wickham,6.341014,2
E05000075,Erith,4.150313,1b
E05000076,Falconwood and Welling,6.738095,2
E05000077,Lesnes Abbey,6.114894,2
E05000078,Longlands,6.034221,2
E05000079,North End,2.499109,1a
E05000080,Northumberland Heath,3.531073,1b
E05000081,St. Mary's,4.874715,1b
E05000082,St. Michael's,3.910345,1b
E05000083,Sidcup,7.692593,2
E05000084,Thamesmead East,2.662551,1b
E05000085,Alperton,7.663415,2
E05000086,Barnhill,6.592593,2
E05000087,Brondesbury Park,11.188235,3
E05000088,Dollis Hill,5.876068,2
E05000089,Dudden Hill,10.094118,3
E05000090,Fryent,5.187266,2
E05000091,Harlesden,12,3
E05000092,Kensal Green,14.070175,3
E05000093,Kenton,6.451327,2
E05000094,Kilburn,21.11828,5
E05000095,Mapesbury,13.20979,3
E05000096,Northwick Park,7.528302,2
E05000097,Preston,8.843882,2
E05000098,Queens Park,17.437086,4
E05000099,Queensbury,7.788177,2
E05000100,Stonebridge,8.007407,2
E05000101,Sudbury,9.336538,2
E05000102,Tokyngton,9.864286,2
E05000103,Welsh Harp,5.296137,2
E05000104,Wembley Central,14.701863,3
E05000105,Willesden Green,12.352941,3
E05000106,Bickley,4.852156,1b
E05000107,Biggin Hill,1.323706,1a
E05000108,Bromley Common and Keston,3.548426,1b
E05000109,Bromley Town,14.913279,3
E05000110,Chelsfield and Pratts Bottom,1.34689,1a
E05000111,Chislehurst,2.909875,1b
E05000112,Clock House,12.892241,3
E05000113,Copers Cope,8.605422,2
E05000114,Cray Valley East,1.601509,1a
E05000115,Cray Valley West,4.608586,1b
E05000116,Crystal Palace,14.217778,3
E05000117,Darwin,0.365828,1a
E05000118,Farnborough and Crofton,3.737892,1b
E05000119,Hayes and Coney Hall,2.454044,1a
E05000120,Kelsey and Eden Park,5.217899,2
E05000121,Mottingham and Chislehurst North,4.119342,1b
E05000122,Orpington,6.424171,2
E05000123,Penge and Cator,11.922034,3
