id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
375799,Luxury apartment : London/Wimbledon,Kingston upon Thames,51.40295807,-0.250435827,Entire home/apt,80,7,42,1,318
2284438,Bright and comfy double room,Kingston upon Thames,51.39546653,-0.309491583,Private room,43,2,20,1,337
4356007,Luxury victorian family homel,Kingston upon Thames,51.41474554,-0.289594283,Entire home/apt,325,2,6,1,276
7031432,Ground floor bedroom in Kingston,Kingston upon Thames,51.42833469,-0.303721243,Private room,47,1,0,1,41
7208109,A Room with Private Shower,Kingston upon Thames,51.39616052,-0.249821437,Private room,25,1,0,7,17
6003865,Double Room in Bright Period Flat,Kingston upon Thames,51.40703404,-0.296622031,Private room,40,1,0,1,335
4657702,Penthouse apartment with concierge,Kingston upon Thames,51.40909023,-0.308146747,Entire home/apt,75,5,0,1,256
2714787,Double/twin room & private lounge,Kingston upon Thames,51.42027102,-0.290018139,Private room,45,2,64,1,290
2476333,Garden Room,Kingston upon Thames,51.42131461,-0.299535566,Private room,25,7,7,2,263
5483827,Sunny flat beckons for Easter break,Kingston upon Thames,51.4062027,-0.263097658,Entire home/apt,72,5,0,1,162
7458169,Twin room with en-suite,Kingston upon Thames,51.39013068,-0.288376655,Private room,27,1,8,1,242
1904917,"Kingston, PRIVATE Pretty Art Chalet",Kingston upon Thames,51.41587931,-0.287167806,Entire home/apt,85,2,48,1,357
5018677,"Thames  riverside cosy Apartment,KT",Kingston upon Thames,51.41358691,-0.307594198,Private room,48,2,5,1,166
7978787,"Large, moder bright double bedroom",Kingston upon Thames,51.4203565,-0.289026545,Private room,80,1,0,1,9
5241134,One Lovely Double Room in Surbiton,Kingston upon Thames,51.39379271,-0.303510955,Shared room,39,1,0,1,186
7124500,Bright rooms by Richmond Park,Kingston upon Thames,51.42055196,-0.287209024,Shared room,50,2,0,1,353
7614414,Super location with a friendly host,Kingston upon Thames,51.43461209,-0.256029184,Private room,55,1,0,1,365
8084116,Lovely Garden Apartment in Kingston,Kingston upon Thames,51.41260099,-0.301631204,Entire home/apt,115,1,0,1,314
5645636,Central Kingston - Double Bedroom,Kingston upon Thames,51.41284852,-0.29811525,Private room,25,2,6,1,213
2499857,Riverside Double Room,Kingston upon Thames,51.41548784,-0.30424099,Private room,50,2,4,1,162
754867,Surbiton luxury Stratton Flat for 6,Kingston upon Thames,51.3953517,-0.301580919,Entire home/apt,121,3,10,1,300
3875430,"Lovely Room, 15 minutes to London ",Kingston upon Thames,51.39000603,-0.304092742,Private room,33,1,20,1,285
4329361,Single room in top (3rd) floor flat,Kingston upon Thames,51.39231636,-0.291465408,Private room,30,1,15,1,307
1530163,Private room(s) in New Malden,Kingston upon Thames,51.40411359,-0.249172775,Private room,60,3,12,1,291
2032290,"Room in lovely, peaceful flat.",Kingston upon Thames,51.39972001,-0.303018015,Private room,35,1,28,1,230
7416507,Summer offer on 2 bed London flat,Kingston upon Thames,51.42138833,-0.279967113,Entire home/apt,65,5,1,1,20
5112565,"Spacious double, private bathroom",Kingston upon Thames,51.40325531,-0.302715872,Private room,40,2,25,1,251
5712675,Spacious Large Double Room London,Kingston upon Thames,51.41306446,-0.248786695,Private room,25,1,12,1,225
6179409,Airy room in Kingston Upon Thames,Kingston upon Thames,51.4185371,-0.282554482,Private room,54,2,9,1,151
4009780,Single room - South West London,Kingston upon Thames,51.40581202,-0.249886868,Private room,35,2,8,2,247
3603952,Peace and light in Kingston,Kingston upon Thames,51.40765812,-0.295922857,Private room,49,3,24,1,342
2544574,Comfortable upper room in townhouse,Kingston upon Thames,51.4198834,-0.298613788,Private room,25,2,16,2,298
1231996,Large Double Room in a Family Home,Kingston upon Thames,51.40598091,-0.294443103,Private room,55,1,46,1,346
782346,Lovely double bedroom by the Park!,Kingston upon Thames,51.41929319,-0.281561629,Private room,70,1,13,1,346
7327883,Comfortable king size sofa bed,Kingston upon Thames,51.39064615,-0.310918625,Shared room,25,1,3,1,84
4036604,Large double in stylish family home,Kingston upon Thames,51.41238445,-0.294976314,Private room,55,1,8,2,358
4036141,Funky Family Home in KT2,Kingston upon Thames,51.4141062,-0.295913596,Entire home/apt,275,2,9,2,359
6808782,"Unique, Beautiful, Converted Pub",Kingston upon Thames,51.41447957,-0.299371627,Entire home/apt,100,2,5,1,1
7387559,Fully furnished studio room,Kingston upon Thames,51.41142233,-0.301666517,Private room,30,10,0,1,359
7856474,London 2 bed Surbiton nr Twickenham,Kingston upon Thames,51.37757168,-0.301930199,Entire home/apt,95,1,0,1,90
414862,Cosy room - 20 min train to London,Kingston upon Thames,51.38885817,-0.291806613,Private room,28,2,52,1,319
7017868,studio flat near tube sttaion,Kingston upon Thames,51.40967503,-0.304748752,Entire home/apt,59,3,1,1,365
4363188,Large 4 Bed family home with garden,Kingston upon Thames,51.40872945,-0.297332006,Entire home/apt,200,7,0,1,75
6735259,Modern and cute Victorian Cottage,Kingston upon Thames,51.40703841,-0.306353168,Entire home/apt,150,3,2,1,210
7730826,1 bedroom flat in central Kingston,Kingston upon Thames,51.41582523,-0.301505117,Entire home/apt,62,1,2,1,201
5098744,Luxurious NEW 1-Bed Apartment ,Kingston upon Thames,51.41389943,-0.306504748,Entire home/apt,90,1,6,1,365
7515814,Relaxing Garden Apartment,Kingston upon Thames,51.41355381,-0.296375888,Entire home/apt,60,2,3,1,343
4298091,Modern Ensuite next to the Thames,Kingston upon Thames,51.40769244,-0.305915003,Private room,63,1,5,1,361
2376517,"Osborne Villa, Kingston Upon Thames",Kingston upon Thames,51.40326008,-0.29892234,Private room,67,1,5,1,350
3766472,"Bright, clean room near University",Kingston upon Thames,51.40665327,-0.30745346,Private room,35,1,4,1,56
6745039,Luxury Double Room Modern Apartment,Kingston upon Thames,51.41543412,-0.304425496,Private room,45,1,4,1,81
4058444,Lovely Room in Central Kingston,Kingston upon Thames,51.40869126,-0.301407615,Private room,69,1,19,1,215
8020994,Large room in New Malden,Kingston upon Thames,51.40543671,-0.262080936,Private room,49,2,0,1,144
6900604,Beautiful eco-dutch barge London,Kingston upon Thames,51.40755341,-0.304502831,Entire home/apt,125,1,2,3,365
6900601,Historic Dutch Barge London,Kingston upon Thames,51.40966681,-0.303662607,Entire home/apt,60,1,11,3,354
1604261,"2 bed house, Kingston, London",Kingston upon Thames,51.40538291,-0.294934947,Entire home/apt,130,5,11,1,320
5536091,Private Room by Kingston Station,Kingston upon Thames,51.41382868,-0.301638222,Private room,50,1,1,1,365
2580200,KINGSTON ROOM EASY ACCESS TO LONDON,Kingston upon Thames,51.40973499,-0.287980457,Private room,60,1,11,1,128
5994137,Double room near centre of Kingston,Kingston upon Thames,51.40922989,-0.294159373,Private room,54,1,6,1,345
7877458,Double Room & Ensuite - SW London,Kingston upon Thames,51.40387204,-0.247953122,Private room,65,2,0,2,3
5135737,"Kingston Riverside, LONDON",Kingston upon Thames,51.41508021,-0.307569018,Entire home/apt,155,14,0,1,92
1406006,"Private room, Kingston-upon-Thames",Kingston upon Thames,51.40839427,-0.296616723,Private room,43,1,26,1,322
5910748,The Beach House in the Suburbs,Kingston upon Thames,51.38872166,-0.266799204,Private room,45,2,7,1,323
3697446,Contemporary 2 bed 2 bath apartment,Kingston upon Thames,51.41328449,-0.304011074,Entire home/apt,90,3,24,1,225
7961583,Quiet road near Surbiton station,Kingston upon Thames,51.39907395,-0.295915054,Private room,40,1,0,1,350
487783,Cosy Twin Bed Room - Prime location,Kingston upon Thames,51.41848141,-0.303563519,Private room,38,2,46,1,358
661917,Large Double Room - Edwardian house,Kingston upon Thames,51.41742646,-0.303649677,Private room,43,2,16,1,345
5800803,Quaint terrace house Richmond Park ,Kingston upon Thames,51.436696,-0.255042778,Private room,65,1,0,1,57
8081184,Private 2 bed Flat in Surbiton,Kingston upon Thames,51.39280806,-0.306635529,Entire home/apt,59,3,0,1,15
5519424,2 Bedroom Mews House - Greater LDN,Kingston upon Thames,51.41232907,-0.296101211,Entire home/apt,80,1,9,1,208
3429536,"""Boutique Croydon Apart-Hotel-CRH4",Croydon,51.37326532,-0.099593834,Entire home/apt,100,1,0,5,336
872512,Crystal Room,Croydon,51.41938834,-0.083941499,Private room,35,2,16,2,361
364017,Massive 6BR 25min London sleeps 17,Croydon,51.37295511,-0.119663174,Entire home/apt,169,3,17,1,349
5555236,Period Two Bed House in London!,Croydon,51.37444147,-0.104105391,Entire home/apt,70,1,12,8,303
4095433,Flexistay Standard 1 Bed Apartment,Croydon,51.36927487,-0.095805047,Entire home/apt,65,7,2,4,365
3380345,"""Boutique Croydon Apart-Hotel-CRH3",Croydon,51.37136009,-0.099398964,Entire home/apt,115,1,0,5,332
3308107,CHATSWORTH ROAD,Croydon,51.36665815,-0.092816798,Entire home/apt,85,1,1,1,365
225676,Spacious Apartment with Garden,Croydon,51.41704472,-0.089010297,Entire home/apt,80,3,22,1,336
3380330,"""Boutique Croydon Apart-Hotel-CRH1",Croydon,51.37282129,-0.099991125,Entire home/apt,125,1,1,5,324
5909918,Уютная студия для двоих.,Croydon,51.36460611,-0.095899209,Entire home/apt,89,1,0,1,365
3908657,A bubbly&lively area in South Lond.,Croydon,51.36742288,-0.099015315,Private room,50,1,0,1,365
4355925,Luxury Apartment London,Croydon,51.38160263,-0.109438019,Entire home/apt,100,1,0,1,295
3880046,Capri Apartments Croydon - 1 Bed,Croydon,51.36841069,-0.096127706,Entire home/apt,79,4,0,1,327
1618887,Room in West Croydon,Croydon,51.37671946,-0.104618224,Private room,31,1,8,1,120
2862815,"Delightful double, private bathroom",Croydon,51.41335273,-0.080641445,Private room,49,1,1,2,365
2863309,"Large 2 bed, 2 bathroom garden flat",Croydon,51.41342199,-0.080647236,Entire home/apt,140,1,1,2,365
4238042,Luxury 2-bed apartment South London,Croydon,51.3748288,-0.092030446,Entire home/apt,105,3,18,1,248
2669410,Flexistay Deluxe One Bed Apartment,Croydon,51.36913061,-0.096023585,Entire home/apt,96,7,0,4,365
1615727,"Modern, Quiet Room, South London",Croydon,51.37051932,-0.10034395,Private room,28,2,11,1,326
5867329,Room with a view in Crystal Palace,Croydon,51.41936125,-0.082135211,Private room,40,1,3,1,360
8174513,"Cosy, clean, small shared apartment",Croydon,51.39588487,-0.103466348,Shared room,45,1,0,1,355
4542137,Spacious Flat in heart of Croydon,Croydon,51.38587084,-0.109958612,Private room,44,1,1,1,365
6458634,Cosy Studio with Full Kitchen,Croydon,51.39451044,-0.073827319,Private room,40,1,3,1,242
740645,"Comfy  Bed, Good Transport,",Croydon,51.37082062,-0.121807334,Private room,25,1,40,1,283
5650440, 2 double bedrooms,Croydon,51.41438137,-0.087655112,Private room,58,1,0,1,365
507218,Large double/twin full of character,Croydon,51.37240225,-0.1127231,Private room,33,1,101,1,320
5084009,Single Rooms @ Cedars House,Croydon,51.38639051,-0.108089678,Private room,40,1,0,3,365
1719500,Well located flat. Good transport,Croydon,51.37278613,-0.103460106,Shared room,20,1,0,1,333
4196078,Beautiful One Bedroom House!,Croydon,51.37052878,-0.111568406,Entire home/apt,65,3,1,1,348
7971809,Super Cozy Sofa in South London,Croydon,51.39887722,-0.081246334,Shared room,20,1,0,1,88
3262803,"Modern, Fresh 4 BD incl Loft room ",Croydon,51.41826203,-0.094129955,Entire home/apt,95,7,1,1,245
4911357,Peace haven,Croydon,51.41818644,-0.085198627,Private room,50,2,0,1,365
4321391,LUXURY APARTMENT -15MNS TO LONDON,Croydon,51.37169107,-0.092119035,Entire home/apt,109,1,0,1,244
4117749,Flexistay Tulsi ApartHotel - Double,Croydon,51.36786401,-0.099338158,Entire home/apt,60,3,0,4,365
3325609,"3 bedrooms,London Victoria 30 mints",Croydon,51.38621445,-0.109299705,Entire home/apt,112,3,21,1,310
38151,Double room/ lounge,Croydon,51.4193969,-0.087219007,Private room,65,1,0,1,365
5114017,Family Room @ Cedars House,Croydon,51.38850471,-0.108245186,Private room,80,1,0,3,365
5841205,Charming rustic home with garden,Croydon,51.41771506,-0.086609782,Entire home/apt,120,14,0,1,129
924891,"Cute, clean double bedroom in CR0 ",Croydon,51.37889225,-0.103363082,Private room,50,2,0,1,365
69212,Double/Twin Room @ Cedars House,Croydon,51.38841501,-0.106494427,Entire home/apt,55,1,0,3,365
7078805,Large Livingroom in Croydon,Croydon,51.38166278,-0.108557982,Shared room,35,1,0,1,361
5678792,"Charming Victorian Cottage, London",Croydon,51.41949981,-0.082687924,Entire home/apt,175,1,1,1,363
4128299,beautiful room in south west London,Croydon,51.4175734,-0.12019999,Private room,25,1,0,1,326
7876038,"Crystal Palace room, friendly host",Croydon,51.42115762,-0.090622112,Private room,26,2,0,1,361
7793368,Your own detached summer house!,Croydon,51.41351961,-0.08269381,Private room,35,1,3,2,346
3929207,clean comfortable and quiet double,Croydon,51.41886988,-0.119001547,Private room,32,5,6,1,120
6798788,2 Double rooms in Crystal Palace,Croydon,51.40765845,-0.089751391,Private room,34,2,0,1,98
3380338,Boutique Croydon Apart-Hotel-CRH2,Croydon,51.37325601,-0.099166233,Entire home/apt,115,1,0,5,321
3988147,Easy East croydon Apartments-LND,Croydon,51.37725368,-0.093654131,Entire home/apt,95,2,2,5,337
3552851,Double room in hidden garden flat,Croydon,51.41879451,-0.086757433,Private room,35,1,0,1,240
4011657,Luxury Apartment with Amazing View,Croydon,51.37312605,-0.092574615,Entire home/apt,80,2,5,1,361
3315198,"Exclusive use house, 2 bedrooms",Croydon,51.41960168,-0.082225666,Entire home/apt,150,1,0,3,365
3773360,Private room in modern house.,Croydon,51.41285307,-0.08327078,Private room,25,1,11,2,308
7096169,Elegant British 1bed roof top abode,Croydon,51.41809326,-0.084807335,Entire home/apt,65,1,2,1,350
5861124,Terraced Family House ,Croydon,51.38156169,-0.088879129,Entire home/apt,80,5,0,1,129
2347963,Beautiful room for FEMALES only,Croydon,51.3721817,-0.103820424,Private room,26,2,13,1,323
7739250,Lovely house in excellent location,Croydon,51.4085709,-0.12308448,Entire home/apt,120,2,1,1,252
5975492,07 Unbeatable value in South London,Croydon,51.38328781,-0.082209328,Entire home/apt,47,4,7,1,194
410018,Double room in Croydon ,Croydon,51.37188632,-0.101833023,Private room,115,3,0,1,365
5134081,Spacious Double Room with Ensuite,Croydon,51.38905705,-0.101366702,Private room,56,1,0,1,365
3161759,Brand New Flat in Great Location!,Croydon,51.37373923,-0.116002143,Entire home/apt,94,1,12,1,337
7087470,Modern 1 Bed - 15 mins to London,Croydon,51.37237485,-0.089888056,Entire home/apt,71,1,0,1,78
7474138,Lovely Crystal Palace Dble Bedroom,Croydon,51.4182261,-0.083774594,Private room,45,2,0,1,365
2956031,Lovely double room zone 3,Croydon,51.41931615,-0.082382888,Private room,37,2,24,3,354
4594232,1 Bedroom Flat with Living room,Croydon,51.41765707,-0.084206205,Entire home/apt,80,1,0,1,229
3266610,"Split Level room & terrace, zone 3",Croydon,51.41913061,-0.081808873,Private room,40,2,7,3,356
4858546,Flat To rent  in LONDON !!!!,Croydon,51.38611649,-0.109450422,Entire home/apt,90,4,4,1,341
583840,"Room in lovely flat, South London",Bromley,51.42344467,-0.064257845,Private room,35,1,11,1,242
8145937,Comfortable and modern family home,Bromley,51.42069925,-0.052059513,Entire home/apt,120,1,0,1,274
392066,loft room,Bromley,51.41366392,0.020394552,Private room,30,2,7,1,294
1612619,3 Bedroom Home,Bromley,51.39594441,0.023562821,Entire home/apt,80,2,5,2,348
5455234,A London Borough of Bromley Home,Bromley,51.39406617,0.032555318,Private room,40,1,0,1,365
3568323,"Central London in 20 mins, 3 people",Bromley,51.41354959,-0.01573488,Private room,33,1,26,1,320
1384608,3 Bedroom Flat,Bromley,51.39503172,0.02365972,Entire home/apt,95,2,23,2,348
5246586,Eco-lodge 30 mins to central London,Bromley,51.41279065,0.002392356,Entire home/apt,79,1,8,1,314
7845606,Larger than average single room,Bromley,51.40488763,0.025375742,Private room,25,1,0,1,335
6190369,Double En Suite Room in Bromley,Bromley,51.40099915,0.027577975,Private room,40,1,0,1,89
7719231,2 Bedroom Flat on the Crystal Palac,Bromley,51.42479791,-0.066523311,Entire home/apt,65,1,1,1,337
4702563,Studio+parking for your holiday!,Bromley,51.41793187,-0.071655303,Private room,75,3,0,1,362
7962132,"Comfortable, clean double room",Bromley,51.42543974,-0.074811448,Private room,35,1,0,1,362
2934808,Cheap London double bedroom&bath ,Bromley,51.41463976,-0.071943649,Private room,45,1,4,1,353
5968857,"Comfy, very clean, double bedroom",Bromley,51.41497866,-0.06671739,Private room,35,3,0,1,176
6851047,"Large London Room, sleeps 2.",Bromley,51.41416207,-0.070958048,Private room,30,1,1,1,126
81473,"Lush room in Crystal Palace, London",Bromley,51.41642889,-0.076728261,Private room,40,2,39,1,362
5914575,Apartment - Bromley Town Centre,Bromley,51.40712636,0.016440885,Entire home/apt,129,4,1,1,331
3886126,Double Room in a Shared House,Bromley,51.40973802,0.013689682,Private room,30,3,4,1,160
6627841,Nice and spacious 2 bedroom flat,Bromley,51.41052239,0.019978554,Entire home/apt,80,5,2,5,309
1410003,Twin bedded room in Edwardian house,Bromley,51.40915465,0.005004569,Private room,46,1,5,1,365
2777733,Penthouse Apartment ,Bromley,51.40559187,0.012725461,Entire home/apt,150,7,5,1,365
3689458,Central London: 20 mins + ensuite!,Bromley,51.41403081,-0.014709171,Private room,39,2,0,1,337
7381211,"Tranquil,convenient",Bromley,51.41061633,0.005958105,Entire home/apt,86,2,1,1,355
947200,Overdale Villa Apartment Bromley ,Bromley,51.41830439,0.001278571,Entire home/apt,40,1,0,3,365
4145063,Adorable bedroom in creative home ,Bromley,51.41880059,-0.075256895,Private room,45,2,3,2,174
1608341,Cozy 1 Bedroom Crystal Palace Flat,Bromley,51.41362185,-0.069288153,Entire home/apt,85,3,5,1,179
7953055,Traquil London home,Bromley,51.40044671,0.025369131,Entire home/apt,100,1,0,1,111
4698470,The Victorian -Dbl+,Bromley,51.41281166,-0.013554459,Private room,30,1,6,1,345
6622564,Fabulos Flat Central London 17 mins,Bromley,51.42190793,-0.054551223,Entire home/apt,70,1,3,2,76
5381496,sofa bed in the living room,Bromley,51.40723401,-0.067060245,Shared room,25,2,19,1,69
2945180,Huge & luxurious 15mins centre ldn ,Bromley,51.39764829,0.027952532,Private room,49,2,2,1,361
6936680,"A Victorian Villa, Beautiful Rooms",Bromley,51.42534167,-0.072884248,Entire home/apt,150,2,1,2,92
3597888, Double Room with stunning views,Bromley,51.39159034,0.032221237,Private room,60,1,0,1,356
4783399,Room for International Student,Bromley,51.40224073,0.013472546,Private room,30,1,2,1,316
4162938,Elegantly Decorated Private Room,Bromley,51.4221857,0.010747688,Private room,31,3,20,4,304
7950142,Cozy 1 bed flat in crystal palace,Bromley,51.41727527,-0.066181245,Private room,25,2,0,1,229
1015804,"Private room, Crystal Palace,London",Bromley,51.4153753,-0.07975555,Private room,60,1,0,1,62
2799985,Single room in Bromley with parking,Bromley,51.39635445,0.02905364,Private room,45,2,4,1,361
5368508,Modern 2 bed 2 Bathroom Apartment,Bromley,51.42364138,-0.066708888,Entire home/apt,100,4,0,1,173
7544851,Double bed near train nice garden,Bromley,51.41100728,0.018009993,Private room,46,1,1,1,355
7769599,Cosy Single room in creative home,Bromley,51.41955474,-0.074741306,Private room,25,3,0,2,220
430587,"Crystal Palace, home from home",Bromley,51.41813906,-0.076939738,Private room,75,1,3,1,365
4692685,1 bed garden flat in SE London,Bromley,51.41673384,-0.075198836,Entire home/apt,65,2,1,1,178
1726687,Lovely appartment in Crystal Palace,Bromley,51.41448032,-0.074154966,Entire home/apt,150,3,0,1,365
6030134,Amazing 4 bed house with a view!,Bromley,51.41742361,-0.077961359,Entire home/apt,150,2,4,1,69
3173050,Large house 3 bedrooms free parking,Hounslow,51.48229244,-0.262861526,Entire home/apt,188,7,2,1,228
1947523,Double room in West London,Hounslow,51.49152987,-0.314195239,Private room,45,2,24,1,307
6435922,Charming victorian house in chiswck,Hounslow,51.49789658,-0.2455793,Entire home/apt,150,2,1,1,178
