WardCode,Crime2015
E05000026,44
E05000027,50
E05000028,83
E05000029,82
E05000030,48
E05000031,98
E05000032,79
E05000033,67
E05000034,55
E05000035,76
E05000036,61
E05000037,58
E05000038,73
E05000039,77
E05000040,66
E05000041,53
E05000042,114
E05000026,42
E05000027,16
E05000028,22
E05000029,29
E05000030,11
E05000031,17
E05000032,50
E05000033,21
E05000034,20
E05000035,26
E05000036,16
E05000037,10
E05000038,14
E05000039,74
E05000040,18
E05000041,24
E05000042,35
E05000026,22
E05000027,22
E05000028,25
E05000029,25
E05000030,11
E05000031,26
E05000032,29
E05000033,26
E05000034,20
E05000035,17
E05000036,21
E05000037,21
E05000038,23
E05000039,38
E05000040,21
E05000041,29
E05000042,31
E05000026,54
E05000027,39
E05000028,63
E05000029,43
E05000030,49
E05000031,47
E05000032,58
E05000033,45
E05000034,59
E05000035,44
E05000036,44
E05000037,36
E05000038,49
E05000039,60
E05000040,46
E05000041,45
E05000042,52
E05000026,26
E05000027,9
E05000028,12
E05000029,6
E05000030,7
E05000031,1
E05000032,22
E05000033,10
E05000034,12
E05000035,4
E05000036,6
E05000037,2
E05000038,3
E05000039,9
E05000040,7
E05000041,10
E05000042,3
E05000026,38
E05000027,17
E05000028,43
E05000029,22
E05000030,26
E05000031,17
E05000032,28
E05000033,20
E05000034,27
E05000035,19
E05000036,19
E05000037,15
E05000038,22
E05000039,39
E05000040,27
E05000041,30
E05000042,25
E05000026,5
E05000027,1
E05000028,4
E05000029,4
E05000030,2
E05000031,1
E05000032,4
E05000033,1
E05000034,5
E05000035,1
E05000036,1
E05000037,3
E05000038,1
E05000039,5
E05000040,0
E05000041,8
E05000042,7
E05000026,0
E05000027,0
E05000028,0
E05000029,0
E05000030,0
E05000031,0
E05000032,1
E05000033,0
E05000034,1
E05000035,0
E05000036,0
E05000037,0
E05000038,0
E05000039,0
E05000040,0
E05000041,0
E05000042,0
E05000026,179
E05000027,56
E05000028,41
E05000029,37
E05000030,60
E05000031,29
E05000032,106
E05000033,41
E05000034,45
E05000035,37
E05000036,24
E05000037,30
E05000038,53
E05000039,62
E05000040,17
E05000041,47
E05000042,28
E05000026,0
E05000027,0
E05000028,0
E05000029,0
E05000030,0
E05000031,0
E05000032,0
E05000033,0
E05000034,0
E05000035,0
E05000036,0
E05000037,0
E05000038,0
E05000039,0
E05000040,0
E05000041,0
E05000042,0
E05000026,6
E05000027,1
E05000028,1
E05000029,1
E05000030,0
E05000031,1
E05000032,1
E05000033,3
E05000034,1
E05000035,2
E05000036,0
E05000037,0
E05000038,0
E05000039,1
E05000040,0
E05000041,1
E05000042,3
E05000026,1
E05000027,0
E05000028,0
E05000029,0
E05000030,0
E05000031,0
E05000032,1
E05000033,0
E05000034,0
E05000035,0
E05000036,1
E05000037,0
E05000038,1
E05000039,2
E05000040,0
E05000041,0
E05000042,0
E05000026,37
E05000027,14
E05000028,22
E05000029,21
E05000030,22
E05000031,9
E05000032,31
E05000033,11
E05000034,24
E05000035,14
E05000036,17
E05000037,15
E05000038,19
E05000039,25
E05000040,18
E05000041,14
E05000042,14
E05000026,6
E05000027,2
E05000028,3
E05000029,1
E05000030,4
E05000031,3
E05000032,5
E05000033,2
E05000034,1
E05000035,2
E05000036,1
E05000037,0
E05000038,1
E05000039,4
E05000040,2
E05000041,3
E05000042,4
E05000026,64
E05000027,23
E05000028,40
E05000029,12
E05000030,25
E05000031,19
E05000032,44
E05000033,31
E05000034,33
E05000035,12
E05000036,29
E05000037,20
E05000038,44
E05000039,43
E05000040,16
E05000041,32
E05000042,22
E05000026,24
E05000027,21
E05000028,27
E05000029,13
E05000030,10
E05000031,12
E05000032,19
E05000033,12
E05000034,22
E05000035,10
E05000036,10
E05000037,10
E05000038,12
E05000039,13
E05000040,17
E05000041,13
E05000042,12
E05000026,17
E05000027,9
E05000028,6
E05000029,6
E05000030,4
E05000031,10
E05000032,14
E05000033,4
E05000034,5
E05000035,6
E05000036,9
E05000037,5
E05000038,15
E05000039,16
E05000040,7
E05000041,8
E05000042,8
E05000026,5
E05000027,3
E05000028,4
E05000029,3
E05000030,2
E05000031,3
E05000032,1
E05000033,1
E05000034,2
E05000035,0
E05000036,1
E05000037,1
E05000038,4
E05000039,2
E05000040,1
E05000041,5
E05000042,3
E05000026,4
E05000027,12
E05000028,12
E05000029,13
E05000030,10
E05000031,14
E05000032,10
E05000033,6
E05000034,23
E05000035,13
E05000036,7
E05000037,14
E05000038,9
E05000039,21
E05000040,5
E05000041,8
E05000042,8
E05000026,291
E05000027,58
E05000028,116
E05000029,63
E05000030,56
E05000031,195
E05000032,158
E05000033,54
E05000034,104
E05000035,49
E05000036,63
E05000037,48
E05000038,98
E05000039,278
E05000040,117
E05000041,86
E05000042,75
E05000026,66
E05000027,38
E05000028,61
E05000029,60
E05000030,31
E05000031,59
E05000032,84
E05000033,40
E05000034,46
E05000035,56
E05000036,44
E05000037,32
E05000038,57
E05000039,127
E05000040,35
E05000041,52
E05000042,60
E05000026,224
E05000027,43
E05000028,57
E05000029,23
E05000030,13
E05000031,15
E05000032,41
E05000033,23
E05000034,32
E05000035,13
E05000036,20
E05000037,3
E05000038,11
E05000039,205
E05000040,11
E05000041,67
E05000042,31
E05000026,105
E05000027,12
E05000028,19
E05000029,15
E05000030,10
E05000031,13
E05000032,19
E05000033,3
E05000034,14
E05000035,10
E05000036,10
E05000037,4
E05000038,17
E05000039,13
E05000040,4
E05000041,19
E05000042,7
E05000026,34
E05000027,48
E05000028,53
E05000029,40
E05000030,56
E05000031,37
E05000032,25
E05000033,61
E05000034,44
E05000035,30
E05000036,42
E05000037,38
E05000038,40
E05000039,65
E05000040,33
E05000041,40
E05000042,44
E05000026,43
E05000027,7
E05000028,11
E05000029,7
E05000030,7
E05000031,4
E05000032,9
E05000033,9
E05000034,15
E05000035,8
E05000036,11
E05000037,3
E05000038,16
E05000039,16
E05000040,7
E05000041,9
E05000042,11
E05000026,161
E05000027,79
E05000028,81
E05000029,79
E05000030,71
E05000031,84
