WardCode,rate of dwellings in council tax bands A or B - 2015,"rate of dwellings in council tax bands C, D or E - 2015","rate of dwellings in council tax bands F, G or H - 2015",house price gap,Claimant Rate of Housing Benefit (2015)
E09000001,4.6,61.9,33.4,28.8,5.3
E05000026,45.2,54.8,0,45.2,16.1
E05000027,9.7,90.3,0,9.7,17.7
E05000028,13.4,86.6,0,13.4,16.4
E05000029,33.8,65.9,0.2,33.6,15.1
E05000030,14.8,84.7,0.5,14.3,12.1
E05000031,18.9,81.1,0,18.9,16.9
E05000032,59.4,40.6,0,59.4,20.1
E05000033,11.2,88.8,0,11.2,17.7
E05000034,36.2,63.8,0,36.2,19.6
E05000035,12.2,80.3,7.5,4.7,7.3
E05000036,12.4,87.6,0,12.4,18.2
E05000037,13.1,86.9,0,13.1,17.1
E05000038,10.7,89.3,0,10.7,14.6
E05000039,29.5,70.5,0,29.5,17
E05000040,12.1,87.9,0,12.1,19.1
E05000041,50.9,49.1,0,50.9,18.6
E05000042,23.4,76.4,0.2,23.2,10.6
E05000043,2.8,74.3,23,20.2,6.3
E05000044,10.3,88.4,1.3,9,18
E05000045,16.8,52.1,31.1,14.3,13.8
E05000046,16.7,81,2.2,14.5,17.6
E05000047,9.4,70.6,20,10.6,10.3
E05000048,4.9,74.2,20.9,16,9.1
E05000049,9.3,73.1,17.7,8.4,10.6
E05000050,5.5,54.1,40.3,34.8,10.3
E05000051,7.6,46.8,45.6,38,6.8
E05000052,4.4,34.1,61.5,57.1,5.3
E05000053,14,53.5,32.5,18.5,13.6
E05000054,3.5,77.5,19,15.5,9.4
E05000055,15.1,62.1,22.8,7.7,10.7
E05000056,6.5,63.7,29.8,23.3,7.1
E05000057,4.3,62.3,33.4,29.1,8.3
E05000058,4.9,55.9,39.1,34.2,7.5
E05000059,5.7,38.2,56.1,50.4,5.3
E05000060,15.1,69.5,15.4,0.3,11.5
E05000061,7.7,67.1,25.2,17.5,7.9
E05000062,20.7,59.2,20.1,0.6,11.2
E05000063,6.2,73.3,20.5,14.3,10
E05000064,6.7,88.8,4.5,2.2,5.8
E05000065,23.9,74.7,1.4,22.5,12
E05000066,3,91.1,5.9,2.9,2.9
E05000067,3,83.5,13.5,10.5,3
E05000068,5,88.1,6.9,1.9,2.9
E05000069,5.8,83.4,10.8,5,5
E05000070,18.4,79.9,1.7,16.7,9.7
E05000071,24.8,75,0.2,24.6,10.5
E05000072,14.5,77.6,7.9,6.6,11.2
E05000073,8.3,82.8,8.9,0.6,6.1
E05000074,8.9,88.6,2.5,6.4,7
E05000075,27.8,69.8,2.5,25.3,14.6
E05000076,3.8,93.4,2.8,1,2.8
E05000077,29.8,67.5,2.6,27.2,9.6
E05000078,9.3,75.9,14.8,5.5,5.8
E05000079,29.9,70.1,0,29.9,19.3
E05000080,10.1,88.1,1.9,8.2,6.6
E05000081,3.9,71.3,24.8,20.9,3
E05000082,5.9,92.6,1.5,4.4,4.1
E05000083,8.3,67.3,24.4,16.1,4.9
E05000084,56.3,43.7,0,56.3,17.9
E05000085,13.3,86.3,0.4,12.9,10.1
E05000086,18.1,61.8,20.1,2,14.5
E05000087,6.4,73.2,20.4,14,13.4
E05000088,6.2,88.4,5.5,0.7,16.1
E05000089,13.7,78.9,7.4,6.3,16.5
E05000090,4.6,88.4,7,2.4,9.9
E05000091,30.4,68.8,0.9,29.5,30
E05000092,24.4,73.8,1.8,22.6,19.9
E05000093,1.7,63.6,34.7,33,4.7
E05000094,30.8,65.5,3.6,27.2,19.5
E05000095,18.4,67.9,13.6,4.8,15.8
E05000096,3,71.4,25.6,22.6,6
E05000097,4.4,82.4,13.2,8.8,9.9
